points_1	points_2	points_3	points_4	points_5	points_6	relevant	visits	analysis	stratum	weight
1	1	1	0	2	2	7	277	80	Heide en duin	0.01621
2	9	9	6	6	7	39	2280	80	Landbouw	0.71834
0	3	1	1	0	5	10	568	80	Moeras en water	0.02209
1	0	2	5	4	4	16	965	80	Suburbaan	0.05606
2	4	2	7	5	10	30	1656	80	Urbaan	0.18089
3	4	2	1	1	1	12	401	81	Heide en duin	0.14106
2	7	2	0	0	0	11	328	81	Landbouw	0.80127
2	2	1	1	1	0	7	299	81	Moeras en water	0.05766
0	4	15	25	46	60	150	10223	82	Bos	0.06129
1	11	11	11	17	15	66	3839	82	Heide en duin	0.03418
10	46	57	47	40	28	228	11959	82	Landbouw	0.80477
0	4	8	9	13	14	48	3004	82	Moeras en water	0.02032
2	9	5	5	6	7	34	1604	82	Suburbaan	0.02283
6	17	7	8	3	8	49	2325	82	Urbaan	0.05662
9	10	11	3	2	0	35	1212	83	Bos	0.0113
1	12	4	9	6	4	36	1927	83	Heide en duin	0.01472
4	27	61	88	67	85	332	19708	83	Landbouw	0.92557
1	6	12	10	6	4	39	2030	83	Moeras en water	0.01304
1	6	11	9	3	4	34	1454	83	Suburbaan	0.01803
2	5	5	3	2	2	19	950	83	Urbaan	0.01734
1	18	15	4	1	1	40	1589	84	Bos	0.39629
1	3	6	2	1	1	14	734	84	Heide en duin	0.17578
1	1	2	1	0	0	5	229	84	Landbouw	0.42792
0	2	1	8	18	132	161	11842	85	Bos	0.04366
1	1	4	7	13	61	87	6115	85	Heide en duin	0.0299
7	13	20	32	54	228	354	24485	85	Landbouw	0.82933
1	0	2	5	3	52	63	4677	85	Moeras en water	0.0177
0	0	3	4	16	33	56	3677	85	Suburbaan	0.02496
1	5	1	21	14	29	71	4565	85	Urbaan	0.05445
4	17	8	10	3	7	49	1533	86	Bos	0.04916
5	11	11	6	4	4	41	1177	86	Heide en duin	0.05213
9	38	30	14	4	2	97	2562	86	Landbouw	0.84065
2	10	6	8	4	10	40	1446	86	Moeras en water	0.04158
2	5	2	1	0	0	10	191	86	Suburbaan	0.01649
1	9	4	3	0	0	17	748	87	Bos	0.02902
0	9	0	1	0	0	10	388	87	Heide en duin	0.02163
5	37	14	3	1	0	60	2232	87	Landbouw	0.88464
1	5	1	2	1	0	10	424	87	Moeras en water	0.01768
1	2	1	0	0	0	4	100	87	Suburbaan	0.00841
2	5	1	0	0	0	8	238	87	Urbaan	0.03861
6	50	51	34	37	49	227	12132	88	Landbouw	0.99474
1	2	2	2	4	0	11	541	88	Moeras en water	0.00526
1	3	2	3	0	1	10	299	89	Bos	0.02195
1	7	4	5	4	5	26	1507	89	Heide en duin	0.08038
2	7	7	13	5	8	42	2301	89	Landbouw	0.88503
1	1	2	1	0	1	6	246	89	Moeras en water	0.01264
2	6	4	4	2	0	18	628	90	Heide en duin	0.65187
1	3	4	0	0	0	8	254	90	Moeras en water	0.20725
1	1	1	1	0	0	4	126	90	Suburbaan	0.14088
3	0	1	0	0	0	4	88	91	Heide en duin	0.02363
0	5	3	4	1	2	15	831	91	Landbouw	0.80548
3	2	1	2	1	3	12	598	91	Moeras en water	0.07729
3	0	1	0	0	1	5	188	91	Suburbaan	0.04086
1	0	1	2	0	0	4	159	91	Urbaan	0.05274
1	2	1	0	0	0	4	125	92	Bos	0.02868
3	2	5	2	0	1	13	333	92	Heide en duin	0.1454
2	2	5	1	0	1	11	275	92	Landbouw	0.82592
1	11	23	38	29	21	123	7481	93	Bos	0.0516
3	9	10	14	10	2	48	2525	93	Heide en duin	0.02552
7	37	71	57	50	25	247	13646	93	Landbouw	0.89515
4	7	6	8	10	2	37	1805	93	Moeras en water	0.01608
1	6	2	1	1	0	11	284	93	Suburbaan	0.00689
1	0	2	2	0	0	5	165	93	Urbaan	0.00475
1	1	2	2	1	0	7	316	94	Bos	0.00349
0	10	6	6	0	0	22	989	94	Heide en duin	0.0162
5	55	60	35	24	13	192	9017	94	Landbouw	0.96389
1	6	3	2	0	2	14	637	94	Moeras en water	0.00783
3	2	4	1	0	0	10	326	94	Suburbaan	0.0086
1	1	2	0	0	0	4	124	95	Heide en duin	0.06252
2	3	1	1	0	0	7	196	95	Landbouw	0.8523
1	2	1	0	1	1	6	267	95	Moeras en water	0.08519
3	12	16	21	20	24	96	6062	96	Bos	0.03318
1	6	16	10	5	17	55	3328	96	Heide en duin	0.02409
9	19	31	48	62	121	290	19114	96	Landbouw	0.86597
2	4	9	12	7	12	46	2718	96	Moeras en water	0.01647
2	8	9	7	5	8	39	1759	96	Suburbaan	0.02215
5	9	8	6	5	6	39	1924	96	Urbaan	0.03812
8	4	2	2	1	1	18	715	97	Bos	0.01056
